Price (Cr),Location,Area (Marla),Bedrooms,Bathrooms
2.35,Gulberg Greens,7.3,3,3
7.25,Jinnah Gardens,12.0,6,6
7.5,DHA Defence,10.0,5,5
12.0,D-12,10.0,6,7
2.5,F-18,5.0,5,5
5.75,D-12,5.0,5,6
35.0,Gulberg Greens,100.0,9,7
26.5,D-12,20.0,7,7
1.3,Ghauri Town Phase 5A,5.0,3,4
9.95,DHA Defence,20.0,7,6
0.65,Soan Garden,3.6,3,2
4.15,D-12,4.0,4,4
9.75,D-12,7.0,5,5
3.6,G-14,4.0,5,5
7.5,DHA Defence,10.0,5,5
3.3,MPCHS Multi Gardens,8.0,4,5
7.5,MPCHS Multi Gardens,20.0,7,6
4.25,DHA Defence,11.8,3,4
2.9,Soan Garden,8.0,6,6
3.6,CBR Town,7.0,5,6
5.3,Top City 1,10.0,5,6
0.75,Top City 1,2.2,1,1
1.29,Top City 1,5.5,2,2
4.45,Top City 1,10.0,5,6
4.49,Top City 1,10.0,4,4
4.8,Top City 1,10.0,5,5
5.2,D-12,4.4,3,4
9.75,D-12,8.0,7,7
3.75,PWD Housing Scheme,5.0,6,7
12.4,DHA Defence,20.0,5,6
2.6,Soan Garden,9.3,2,3
4.7,G-14,4.0,4,5
13.0,D-12,10.0,5,6
8.5,Naval Anchorage,20.0,6,6
23.5,F-6,22.0,5,5
45.0,F-6,42.0,6,6
3.3,Bani Gala,12.0,4,6
3.0,F-18,5.0,5,5
1.2,Bani Gala,5.0,2,3
2.5,D-17,7.1,4,4
4.75,DHA Defence,20.0,3,4
1.85,B-17,5.0,3,4
5.25,G-13,8.0,5,5
12.5,DHA Defence,20.0,5,6
11.25,DHA Defence,20.0,6,7
10.85,DHA Defence,20.0,5,7
2.7,DHA Defence,11.0,3,3
6.85,G-11,8.0,6,6
6.2,Eighteen,10.0,4,5
4.25,Bahria Enclave,9.0,5,6
1.15,Bahria Enclave,4.9,1,2
0.99,Bahria Enclave,6.4,2,3
0.95,B-17,3.6,2,2
9.5,E-11,10.0,5,5
5.5,Jinnah Gardens,14.0,6,6
3.85,Bahria Enclave,8.0,5,6
5.1,Bahria Enclave,10.0,5,6
5.1,Bahria Enclave,10.0,5,6
6.25,Bahria Enclave,10.0,5,6
5.3,Bahria Enclave,10.0,5,6
2.15,The Atrium,10.7,3,3
1.3,Rania Heights,4.0,2,3
4.0,DHA Defence,12.9,4,5
0.6,DHA Defence,2.7,1,1
3.5,MPCHS Multi Gardens,8.0,4,5
15.75,F-10,20.0,8,6
14.5,F-10,20.0,6,6
45.0,E-7,40.0,6,7
65.0,Eighteen,160.0,7,6
0.9918,B-17,3.2,1,1
9.5,Diplomatic Enclave,9.3,2,2
0.64,DHA Defence,2.7,1,1
9.75,D-12,7.0,4,5
4.4,D-12,4.0,4,5
2.5,Bahria Enclave,5.0,3,4
3.1,Bani Gala,20.0,4,5
3.9,I-11,6.0,5,6
3.15,I-11,4.0,5,5
4.5,Bahria Enclave,10.0,4,5
0.55,CBR Town,2.7,2,2
5.25,Bahria Enclave,10.0,5,6
6.5,Bahria Enclave,10.0,5,6
1.25,Bani Gala,5.0,2,3
5.1,Bahria Enclave,10.0,5,6
1.2,Burma Town,4.0,6,6
3.25,Bahria Enclave,8.0,4,5
1.37,Bahria Enclave,7.6,3,3
2.6,Bahria Enclave,5.0,3,4
2.8,Bahria Enclave,5.0,3,4
4.0,Bahria Enclave,9.0,5,6
9.4,G-13,10.0,6,7
5.1,DHA Defence,12.0,5,6
1.15,Bahria Enclave,4.9,1,2
3.35,Bani Gala,8.0,5,5
4.15,DHA Defence,14.2,4,5
11.9,DHA Defence,20.0,6,6
3.7,B-17,8.0,4,6
2.8,B-17,5.0,5,4
0.47,Khanna Pul,2.0,2,2
70.0,F-8,80.0,7,7
0.5,Chak Shahzad,2.4,1,1
1.6,Bahria Enclave,4.8,1,1
8.25,Naval Anchorage,20.0,8,7
1.2,Mumtaz City,5.1,2,2
1.2,Top City 1,5.6,2,2
7.0,Top City 1,20.0,8,7
6.5,Top City 1,20.0,7,7
4.35,Top City 1,10.0,6,7
4.4,Top City 1,10.0,6,7
5.5,Emaar Canyon Views,10.0,5,5
2.5,Bahria Enclave,5.0,3,4
2.95,Mumtaz City,8.0,7,6
4.25,DHA Defence,11.6,3,4
0.7,B-17,2.4,2,2
5.25,DHA Defence,10.0,5,6
4.0,I-14,8.0,6,6
0.695,DHA Valley,5.0,2,2
2.2,B-17,5.0,5,5
2.5,MPCHS Multi Gardens,5.0,3,4
4.15,F-11,14.4,3,3
10.0,Bahria Enclave,20.0,7,6
1.5,Bahria Enclave,5.6,2,3
1.38,G-11,3.1,2,2
6.75,D-12,4.0,3,3
4.15,Top City 1,10.0,5,7
4.5,Top City 1,20.0,7,7
1.75,University Town,5.0,5,6
1.75,University Town,5.0,4,6
4.5,G-11,5.0,3,3
5.0,Bahria Enclave,11.0,5,5
9.95,DHA Defence,20.0,6,6
3.1,Bahria Enclave,5.0,3,4
1.05,Bahria Enclave,4.9,1,2
6.4,Bani Gala,30.0,4,5
4.0,Bani Gala,10.0,5,5
6.5,Bani Gala,18.0,4,5
3.45,G-13,4.4,4,5
15.5,G-13,20.0,7,6
80.0,E-7,50.0,3,3
6.5,DHA Defence,10.0,5,6
3.95,CBR Town,7.0,4,5
2.6,MPCHS Multi Gardens,5.0,3,4
9.5,DHA Defence,20.0,6,6
3.5,Fazaia Housing Scheme,10.0,5,6
0.65,F-18,2.0,1,1
7.25,F-8,6.7,1,2
3.25,Fazaia Housing Scheme,12.0,3,4
22.75,F-6,22.0,5,5
13.5,DHA Defence,20.0,5,5
13.5,DHA Defence,20.0,5,5
14.75,DHA Defence,20.0,5,5
14.75,DHA Defence,20.0,5,5
14.75,DHA Defence,20.0,5,5
14.5,DHA Defence,20.0,5,5
14.5,DHA Defence,20.0,5,6
4.3,Bahria Enclave,10.0,5,6
8.75,G-11,8.0,5,6
7.8,MPCHS Multi Gardens,14.0,10,6
0.65,Ghauri Town,2.0,1,1
3.95,B-17,8.0,6,6
8.9,E-11,10.0,6,6
7.25,D-17,20.0,5,7
6.45,Bani Gala,24.0,6,7
2.3,B-17,5.0,5,6
3.2,D-17,6.0,5,7
11.9,DHA Defence,20.0,5,6
4.5,F-11,10.7,3,3
4.3,Soan Garden,10.0,6,6
4.85,Bahria Enclave,10.0,5,6
3.75,G-13,4.4,4,6
5.25,MPCHS Multi Gardens,0.0,6,6
7.85,DHA Defence,10.0,5,6
10.5,DHA Defence,20.0,6,6
11.75,DHA Defence,20.0,6,6
8.0,DHA Defence,10.0,5,7
12.5,DHA Defence,20.0,5,6
11.9,DHA Defence,20.0,5,6
10.5,DHA Defence,20.0,6,6
3.6,Bahria Enclave,8.0,5,6
45.0,F-7,40.0,6,6
37.0,F-10,44.0,8,6
1.9,MPCHS Multi Gardens,5.0,3,3
14.0,E-11,20.0,8,6
3.8,Bani Gala,11.0,2,3
18.0,D-12,20.0,6,7
8.3,F-10,8.7,3,3
6.2,DHA Defence,12.0,5,6
8.4,F-10,8.7,3,3
3.3,G-11,6.4,2,2
10.75,G-9,14.0,5,5
4.15,Bahria Enclave,10.0,6,6
13.9,DHA Defence,20.0,5,5
11.9,DHA Defence,20.0,6,7
12.0,DHA Defence,20.0,6,7
12.0,DHA Defence,20.0,6,7
14.0,DHA Defence,20.0,5,6
11.5,DHA Defence,20.0,6,7
11.5,DHA Defence,20.0,6,7
13.5,DHA Defence,20.0,5,6
26.0,F-7,26.0,5,5
48.0,F-7,26.0,6,6
120.0,F-6,80.0,5,6
3.75,Faisal Town,8.0,5,7
2.46,Park View City,3.0,1,1
12.5,DHA Defence,20.0,5,6
